"ITE M","CÓDIGO","DESCRIÇÃO","FARMÁCIA"
"1.","90393","acetazolamida comprimido 250 mg","uso hospitalar"
"2.","90152","aminofilina solução injetável 24 mg/mL ampola 10 mL","uso hospitalar"
"3.","21685","anidulafungina pó liófilo para solução injetável 100 mg frasco ampola","uso hospitalar"
"4.","90220","atracúrio (besilato) solução injetável 10 mg/mL ampola 2,5 mL","uso hospitalar"
"5.","90339","biperideno solução injetável 5 mg/mL ampola 1 mL","uso hospitalar"
"6.","90022","bupivacaína (cloridrato) + epinefrina (hemitartarato) solução injetável (5 mg + 9,1 mcg)/mL frasco ampola 20 mL","uso hospitalar"
"7.","90275","caspofungina (acetato) pó para solução injetável 50 mg frasco ampola","uso hospitalar"
"8.","90276","caspofungina (acetato) pó para solução injetável 70 mg frasco ampola","uso hospitalar"
"9.","20225","cetotifeno solução oftálmica 0,25 mg/mL frasco 5 mL","uso hospitalar"
"10.","90933","contraste iodado de meglumina +povidona solução injetável (128 mg + 140 mg)/mL para histerossal- pingografia frasco-ampola","uso hospitalar"
"11.","90252","deslanosídeo solução injetável 0,2 mg/mL ampola 2 mL","uso hospitalar"
"12.","90797","epirrubicina pó para solução injetável 50 mg frasco-ampola ou solução injetável","uso hospitalar"
"13.","90981","etanolamina (oleato) solução injetável 50 mg/mL ampola 2 mL","uso hospitalar"
"14.","90110","flunitrazepam comprimido 1 mg","uso hospitalar"
"15.","90561","glicose solução injetável 25% ampola 10mL","uso hospitalar"
"16.","90571","glucagon pó liofilizado para solução injetável 1 mg frasco-ampola + seringa pre-carregada com dilu- ente","uso hospitalar"
"17.","32443","heparina sódica não-fracionada suína solução injetável 5000 UI/mL frasco-ampola 5 mL","uso hospitalar"
"18.","90002","isoflurano líquido frasco 100 mL","uso hospitalar"
"19.","90801","megestrol comprimido 160 mg","uso hospitalar"
"20.","21044","metilprednisolona (succinato sodico) pó para solução injetável 125 mg frasco ampola","uso hospitalar"
"21.","90273","mitoxantrona solução injetável 20 mg frasco ampola","uso hospitalar"
"22.","38216","morfina (sulfato) cápsula ou comprimido de liberação controlada 60 mg","uso hospitalar"
"23.","90221","pancurônio (brometo) solução injetável 2 mg/mL ampola 2 mL","uso hospitalar"
"24.","90847","pilocarpina solução oftálmica 2 %frasco conta-gotas 10 mL","uso hospitalar"
