"ITEM","CÓDIGO","DESCRIÇÃO","GRUPO FARMACOLÓGICO"
"25.","90734","solução para dialise peritoneal com glicose 4,25% bolsa 6000 mL sistema fechado de infusao","uso hospitalar"
"26.","90733","solução para dialise peritoneal com glicose 1,5% bolsa 6000 mL sistema fechado de infusao","uso hospitalar"
"27.","13221","solução para dialise peritoneal com glicose 2,5% bolsa 6000 mL sistema fechado de infusao","uso hospitalar"
"28.","34591","sulfato de magnésio solução injetável 10 %ampola 10 mL","uso hospitalar"
"29.","90739","tiopental (sal sodico) pó para solução injetável 500 mg frasco ampola","uso hospitalar"
"30.","90217","tirofiban (cloridrato) solução injetável 0,25 mg/mL frasco-ampola 50 mL","uso hospitalar"
"31.","90765","topotecana (cloridrato) pó liofilizado para solução injetável 4 mg frasco-ampola","uso hospitalar"
"32.","90790","vimblastina (sulfato) pó liofilizado ou solução injetável10 mg frasco-ampola","uso hospitalar"
"33.","90791","vincristina (sulfato) solução injetável 1 mg/mL frasco-ampola 1mL ou 2 mL","uso hospitalar"
"1.","90060","ácido acetilsalicílico comprimido 100 mg","Agentes antitrombóticos"
"2.","4980","adenosina solução injetável 3 mg/mL ampola 2 mL","Outros preparados cardíacos"
"3.","90580","água para injetáveis ampola 10 mL","Todos os outros produtos não terapêuticos"
"4.","90301","amiodarona solução injetável 50 mg/mL ampola 3 mL","Antiarrítmicos, classe I e III"
"5.","90460","atropina (sulfato) solução injetável 0,25 mg/mL ampola 1 mL","Beladona e derivados, isolados"
"6.","90551","bicarbonato de sódio solução injetável 8,4 %(1 meq/mL) frasco 250mL","Sangue e produtos relacionados"
"7.","10233","cloreto de sódio 0,9 % solução injetável bolsa ou frasco 1000 mL sistema fechado de infusão","Aditivos de soluções endovenosas"
"8.","10268","cloreto de sódio 0,9 % solução injetável bolsa ou frasco 250 mL sistema fechado de infusão embalagem primária isenta de pvc","Aditivos de soluções endovenosas"
"9.","10269","cloreto de sódio 0,9 % solução injetável bolsa ou frasco 500 mL sistema fechado de infusão embalagem primária isenta de pvc","Aditivos de soluções endovenosas"
"10.","90074","diazepam solução injetável 5 mg/mL ampola 2 mL","Ansiolíticos"
"11.","90154","epinefrina solução injetável 1 mg/mL ampola 1 mL","Estimulantes cardíacos, excluindo glicosi- dos cardíacos"
"12.","34750","fenobarbital solução injetável 200 mg ampola (via de administração IV ou IV e IM)","Antiepilépticos"
"13.","90011","fentanila solução injetável 0,05 mg/mL ampola ou frasco ampola 2mL","Anestésicos gerais"
"14.","90863","flumazenil solução injetável 0,5 mg/mL ampola 5 mL","Todos os outros produtos terapêuticos"
"15.","90381","furosemida solução injetável 10 mg/mL ampola 2 mL","Diuréticos de alça ascendente"
"16.","10271","glicose 5 % solução injetável bolsa ou frasco 250 mL sistema fechado de infusão embalagem primária isenta de pvc","Outros nutrientes"
"17.","10272","glicose 5 % solução injetável bolsa ou frasco 500 mL sistema fechado de infusão embalagem primária isenta de pvc","Outros nutrientes"
"18.","90562","glicose solução injetável 50 %ampola 10 mL","Outros nutrientes"
"19.","90126","haloperidol solução injetável 5 mg/mL ampola 1 mL","Antipsicóticos"
"20.","90645","hidrocortisona (succinato sódico) pó para solução injetável 500mg frasco- ampola","Corticosteróides de uso sistêmico, isolado"
"21.","90320","isossorbida (dinitrato) comprimido sublingual 5 mg","Vasodilatadores usados em doenças cardí- acas"
"22.","90028","lidocaína (cloridrato) geleia 2 %bisnaga 30 g","Antipruriginosos, incluindo anti-histamíni- cos, anestésicos, etc."
"23.","90024","lidocaína (cloridrato) solução injetável 2 %frasco-ampola 20 mL","Anestésicos locais"
"24.","10265","manitol solução injetável 200/mg/mL bolsa ou frasco 250 mL sistema fe- chado de infusão","Soluções endovenosas"
"25.","90111","midazolam solução injetável 15 mg ampola 3 mL","Hipnóticos e sedativos"
"26.","90043","morfina solução injetável 10 mg/mL ampola 1 mL","Opiáceos"
"27.","90861","naloxona (cloridrato) solução injetável 0,4 mg/mL ampola 1mL","Todos os outros produtos terapêuticos"
"28.","90762","prometazina (cloridrato) solução injetável 25 mg/mL ampola 2 mL","Anti-histamínicos de uso sistêmico"
"29.","5289","salbutamol (sulfato) spray ou aerossol para inalação oral 100 mcg/dose frasco 200 doses com inalador","Inalantes adrenérgicos"
"30.","10263","solução de ringer (cloretos de na, k, ca) + lactato (sódico) solução injetável bolsa ou frasco 500 mL sistema fechado de infusão","Soluções endovenosas"
"31.","10264","solução de ringer (cloretos de na, k, ca) solução injetável bolsa ou frasco 500 mL sistema fechado de infusão","Soluções endovenosas"
"32.","90080","sulfato de magnésio solução injetável 50 %(4 meq/mL) ampola 10 mL","Aditivos de soluções endovenosas"
"33.","230","suxametônio (cloridrato) pó para solução injetável 100 mg","Relaxantes musculares, agentes de ação periférica"
