"DOENÇA/AGRAVO","CÓDIGO","DESCRIÇÃO DO ITEM"
"Sífilis","MSE33608","benzilpenicilina benzatina pó para suspensão injetável ou suspensão injetável 1.200.000 UI frasco-ampola"
"Sífilis","MSE90876","benzilpenicilina potássica pó para solução injetável 5.000.000 UI frasco-ampola com capacidade para 10 mL de diluente"
"Infecções sexualmente transmissíveis","MSE35970","doxiciclina comprimido 100 mg"
"Adição ao tabaco/tabagismo","MSE773","bupropiona comprimido 150mg"
"Adição ao tabaco/tabagismo","MSE765","nicotina adesivo transdérmico 21 mg"
"Adição ao tabaco/tabagismo","MSE767","nicotina adesivo transdérmico 14 mg"
"Adição ao tabaco/tabagismo","MSE761","nicotina adesivo transdérmico 7 mg"
"Adição ao tabaco/tabagismo","MSE27130","pastilha de nicotina 2mg"
"Adição ao tabaco/tabagismo","MSE769","nicotina goma de mascar 2mg"
"Doença falciforme","MSE34113","fenoximetilpenicilina potássica 80.000UI/mL pó para suspensão oral frasco 60 mL"
"Influenza","MSE24553","oseltamivir (fosfato) cápsula 30 mg"
"Influenza","MSE24552","oseltamivir (fosfato) cápsula 45 mg"
"Influenza","MSE24551","oseltamivir (fosfato) cápsula 75 mg"
"Influenza","MSE24624","zanamivir pó para inalação oral 5 mg kit com 20 doses + aplicador"
"Malária","MSE35950","artemeter + lumefantrina 20 + 120 mg comprimido (blister c/24 comprimidos) 35 kg"
"Malária","MSE35948","artemeter + lumefantrina 20 mg + 120 mg comprimido (blister c/ 12 comprimidos) 15 - 24 kg"
"Malária","MSE35949","artemeter + lumefantrina 20 mg + 120 mg comprimido (blister c/ 18 comprimidos) 25 - 34 kg"
"Malária","MSE35947","artemeter + lumefantrina 20 mg + 120 mg comprimido (blister c/ 6 comprimidos) 5 - 14 kg"
"Malária","MSE35945","artesunato + mefloquina 100 + 220 mg comprimido (blister com 3 comprimidos) 6 a 11 anos"
"","MSE35946","artesunato + mefloquina 100 + 220 mg comprimido (blister com 6 comprimidos) 12 anos ou mais"
"","MSE35943","artesunato + mefloquina 25 + 55 mg comprimido (blister com 3 comprimidos) 6 a 11 meses"
"","MSE35944","artesunato + mefloquina 25 + 55 mg comprimido (blister com 6 comprimidos) 1 a 5 anos"
"","MSE33191","artesunato 60 mg/mL pó liófilo para injeção endovenosa"
"","MSE4306","cloroquina comprimido 150mg"
"","MSE33254","primaquina comprimido 15 mg"
"","MSE33253","primaquina comprimido 5 mg"
"","MSE34506","tafenoquina (succinato) comprimido 150mg"
"Coqueluche","MSE35623","azitromicina comprimido 250mg"
"","MSE38470","claritromicina comprimido 500 mg"
"Meningite","MSE35961","rifampicina cápsula 300mg"
"","MSE35964","rifampicina suspensão oral 20mg/mL frasco com doseador"
"Brucelose","MSE35972","doxiciclina comprimido 100 mg"
"","MSE35967","estreptomicina (sulfato) pó liofilizado para solução injetável 1g frasco-ampola - Brucelose"
"","MSE35962","rifampicina cápsula 300mg"
"","MSE35965","rifampicina suspensão oral 20mg/mL frasco com doseador"
"Chagas","MSE33251","benznidazol comprimido 12,5 mg"
"","MSE33252","benznidazol comprimido 100 mg"
"","MSE35941","nifurtimox comprimido 120 mg"
"Cólera","MSE35973","azitromicina comprimido 500 mg"
"","MSE24303","eritromicina (estolato) comprimido 500mg"
"","MSE24309","eritromicina (estolato) suspensão oral 50 mg/mL frasco"
"COVID-19","MSE38354","nirmatrelvir 2 comprimidos revestidos 150mg + ritonavir comprimido revestido 100 mg"
"Esquistossomose","MSE33265","oxamniquina 50 mg/mL suspensão oral"
"","MSE202114","praziquantel comprimido 600mg"
"Filariose linfática","MSE33258","dietilcarbamazina comprimido 50 mg"
"","MSE35969","doxiciclina comprimido 100 mg"
"Febre maculosa","MSE38527","doxiciclina comprimido dispersível 100mg"
"","MSE33475","doxiciclina pó para solução injetável 100 mg"
"HIV","MSE21340","abacavir comprimido 300 mg"
"","MSE21341","abacavir solução oral 20 mg/mL"
"","MSE32516","atazanavir cápsula 300mg"
"MSE39575","dapsona comprimido 100mg",""
"MSE33261","darunavir (etanolato) comprimido 150 mg",""
"MSE33260","darunavir (etanolato) comprimido 600 mg",""
"MSE38237","darunavir (etanolato) comprimido 800mg",""
"MSE33262","darunavir (etanolato) comprimido 75 mg",""
"MSE34840","dolutegravir comprimido 50 mg",""
"MSE38511","dolutegravir comprimido 5 mg",""
"MSE21348","efavirenz (EFZ) comprimido 600 mg",""
"MSE90047","efavirenz (EFZ) cápsula 200 mg",""
"MSE21349","efavirenz (EFZ) solução oral 30 mg/mL frasco 180 mL",""
"MSE18299","enfuvirtida (t-20) pó liofilizado solução injetável 90 mg/mL conjunto com diluente + seringa",""
"MSE11790","etravirina comprimido 100 mg",""
"MSE35630","etravirina comprimido 200 mg",""
"MSE35951","fumarato de tenofovir desoproxila + lamivudina + efavirenz 300mg + 300mg + 600 mg comprimido revestido",""
"MSE34503","fostensavir trometamol comprimido 600 mg",""
"MSE90082","lamivudina (3TC) comprimido 150mg",""
"MSE34502","lamivudina + dolutegravir comprimido 300 mg + 50 mg",""
"MSE90053","lamivudina solução oral 10 mg/mL frasco 240 mL",""
"MSE32517","lopinavir + ritonavir (LPV/R) comprimido 100 mg + 25 mg",""
"MSE21350","lopinavir + ritonavir (LPV/R) solução oral 80 mg/mL + 20mg/mL frasco 160 mL",""
"MSE13219","maraviroque comprimido revestido 150mg",""
"MSE90056","nevirapina cápsula ou comprimido 200 mg",""
"MSE90168","nevirapina suspensão oral 10 mg/mL frasco 240 mL",""
"MSE38506","nevirapina suspensão oral 10 mg/mL frasco 100 mL",""
"MSE33266","primaquina comprimido 15 mg",""
"MSE35952","raltegravir 100 mg comprimido",""
"MSE11055","raltegravir comprimido revestido 400 mg",""
"MSE37691","raltegravir granulado para suspensão oral 100 mg",""
"MSE90164","ritonavir cápsula 100 mg",""
"MSE90057","ritonavir pó para suspensão oral 100 mg",""
"MSE90165","ritonavir solução oral 80 mg/mL frasco 240 mL",""
"MSE35629","tenofovir + entricitabina comprimido revestido 300 mg + 200 mg",""
"MSE21351","tenofovir comprimido 300 mg",""
"MSE38214","tenofovir alafenamida comprimido 25mg",""
"","MSE33485","tenofovir desoproxila (fumarato) 300 mg + lamivudina 300 mg"
"","MSE90065","zidovudina cápsula 100 mg"
"","MSE38509","zidovudina solução oral 10 mg/mL frasco 100 mL"
"","MSE90066","zidovudina solução oral 10 mg/mL frasco 200 mL"
"","MSE38510","zidovudina solução oral 10 mg/mL frasco 240 mL"
"","MSE90067","zidovudina solução injetável 10 mg/mL frasco-ampola 20 mL"
"","MSE90069","zidovudina + lamivudina (AZT/3TC) comprimido 300 mg + 150 mg"
"Hepatite B","MSE1664","alfapeginterferona 2A injetável 180 mcg frasco-ampola ou seringa preenchida"
"","MSE21530","entecavir comprimido revestido 0,5mg"
"","MSE38261","imunoglobulina humana anti-hepatite B solução injetável 1000UI ampola ou frasco"
"","MSE38213","tenofovir alafenamida comprimido 25mg"
"","MSE37511","tenofovir comprimido 300 mg"
"","MSE21352","tenofovir + lamivudina comprimido 300mg + 300mg"
"Hepatite C","MSE1664","alfapeginterferona 2A injetável 180 mcg frasco-ampola ou seringa preenchida"
"","MSE34501","daclatasvir comprimido revestido 60mg"
"","MSE37749","glecaprevir + pibrentasvir comprimido 100mg + 40mg"
"","MSE4326","ribavirina cápsula 250 mg"
"","MSE32639","sofosbuvir comprimido 400 mg"
"","MSE35284","sofosbuvir 400mg + velpatasvir 100mg comprimido"
"","MSE34504","sofosbuvir + velpatasvir comprimido 200mg + 50mg"
"","MSE34505","sofosbuvir + velpatasvir + voxilaprevir comprimido 400mg + 100mg + 100mg"
"Leishmaniose","MSE90367","anfotericina B (lipossomal) pó liofilizado injetável 50 mg frasco-ampola"
"","MSE90922","anfotericina B pó liofilizado para solução injetável 50 mg frasco-ampola"
"","MSE202669","meglumina (antimoniato) 300 mg/mL solução injetável"
"","MSE34510","miltefosina cápsula 10 mg"
"","MSE37681","miltefosina cápsula 50 mg"
"","MSE2272","pentamidina (isotionato) solução injetável 300mg"
"","MSE35955","pentoxifilina comprimido 400 mg"
"Tracoma","MSE35974","azitromicina comprimido 500 mg"
"","MSE34538","azitromicina pó para suspensão oral com 600 mg para preparo de suspensão de 40 mg/mL"
"Hanseníase","MSE90109","clofazimina cápsula 50 mg"
"","MSE38243","claritromicina comprimido 500 mg"
"","MSE35957","clofazimina cápsula 100 mg"
"","MSE8522","minociclina comprimido 100 mg"
"","MSE4372","ofloxacino comprimido 400 mg"
"","MSE35954","pentoxifilina comprimido 400 mg"
"","MSE90115","poliquimioterapia única adulto - PQT-U adulto"
"","MSE90116","poliquimioterapia única infantil - PQT-U infantil"
"","MSE90648","prednisona comprimido 5 mg"
"","MSE90649","prednisona comprimido 20 mg"
"","MSE1877","talidomida comprimido 100 mg"
"","MSE35959","rifampicina cápsula 300 mg"
"","MSE37368","rifampicina suspensão oral 20mg/mL frasco 50 mL com doseador"
"Lúpus, Mieloma múltiplo e outras doenças CIDs: B23.8, M32, Y83.0, C90","MSE1877","talidomida comprimido 100 mg"
"","MSE33446","ácido paraminossalicilico 4 g granulado revestido"
"Tuberculose","MSE31939","amicacina (sulfato) solução injetável 250 mg/mL ampola 2 mL"
"","MSE38512","bedaquilina comprimido 100 mg"
"","MSE8831","claritromicina comprimido 500mg"
"","MSE34511","clofazimina cápsula 100mg"
"","MSE38513","delamanida comprimido 50 mg"
"","MSE35966","estreptomicina (sulfato) pó liofilizado para solução injetável 1g frasco-ampola"
"","MSE90146","etambutol (cloridrato) comprimido 400mg"
"","MSE1832","etionamida comprimido revestido 250mg"
"","MSE1846","isoniazida comprimido 100mg"
"","MSE35942","isoniazida comprimido 300mg"
"","MSE90179","levofloxacino comprimido 250 mg"
"","MSE33247","levofloxacino comprimido 500 mg"
"","MSE37656","levofloxacino comprimido 500mg (para atendimento ao período de descontinuidade temporária da rifabutina)"
"","MSE90265","linezolida 2mg/mL solução injetável bolsa ou frasco"
"","MSE31576","linezolida comprimido 600 mg"
"","MSE90317","moxifloxacino comprimido 400 mg"
"","MSE35975","pirazinamida comprimido dispersível 150 mg"
"","MSE90149","pirazinamida comprimido 500mg"
"","MSE38351","piridoxina comprimido 50mg"
"","MSE34512","pretomanida comprimido 200mg - tuberculose"
"","MSE4387","rifabutina cápsula 150 mg"
"","MSE22470","rifampicina 150 mg + isoniazida 75 mg + pirazinamida 400 mg + etambutol 275 mg"
"","","comprimido"
"","MSE90150","rifampicina 150 mg + isoniazida 75 mg comprimido"
"","MSE37482","rifampicina 300 mg + isoniazida 150 mg comprimido"
"","MSE35977","rifampicina 75 mg + isoniazida 50 mg + pirazinamida 150 mg comprimido dispersível"
"","MSE35976","rifampicina 75 mg + isoniazida 50 mg comprimido dispersível"
"","MSE35960","rifampicina cápsula 300 mg"
"","MSE35963","rifampicina suspensão oral 20mg/mL frasco com doseador"
"","MSE37990","rifapentina comprimido 150mg"
"","MSE34500","rifapentina + isoniazida comprimido 300 mg + 300 mg"
"","MSE4434","terizidona cápsula 250mg"
"Prevenção de deficiências nutricionais","MSE33202","vitamina A (retinol) 100.000UI cápsula"
"Prevenção de deficiências nutricionais","MSE33203","vitamina A (retinol) 200.000UI cápsula"
"Prevenção de deficiências nutricionais","MSE33472","suplemento alimentar com múltiplos micronutrientes pó 1 g"
"","MSE90519","ácido folínico comprimido 15 mg"
"Toxoplasmose","MSE90323","espiramicina comprimido 500 mg (1.500.000 UI)"
