"DOENÇA/AGRAVO","CÓDIGO","DESCRIÇÃO DO ITEM","RESPONSABILIDADE DA AQUISIÇÃO",""
"Artrite Reumatoide CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8 Artrite Reumatoide Juvenil CIDs: M08.0, M08.1, M08.2, M08.3, M08.4, M08.8, M08.9","MS11126","abatacepte pó liófilo injetável 250 mg frasco- ampola + seringa descartável","Ministério da Saúde (1A)",""
"Artrite Reumatoide CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8","MS35706","abatacepte solução injetável 125 mg/mL seringa preenchida 1mL","Ministério da Saúde (1A)",""
"Pitiríase Rubra Pilar CID: L44.0 Psoríase","1068","acitretina cápsula 10mg","Secretaria de Saúde do DF (1B)",""
"CIDs: L40.0, L40.1, L40.4, L40.8 Ictioses Hereditárias CIDs: Q80.0, Q80.1, Q80.2, Q80.3, Q80.8 Outras malformações de pele CID: Q82.8","1069","acitretina cápsula 25mg","Secretaria de Saúde do DF (1B)",""
"Doença de Crohn CIDs: K50.0, K50.1, K50.8 Artrite Reumatoide CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8 Artrite Reumatoide Juvenil CIDs: M08.0, M08.1, M08.2, M08.3, M08.4, M08.8, M08.9 Espondilite Ancilosante CIDs: M45, M46.8 Psoríase CIDs: L40.0, L40.1, L40.4, L40.8 Artrite Psoríaca CIDs: M07.0, M07.2, M07.3 Uveítes Não Infecciosas CIDs: H15.0, H20.1, H30.1, H30.2, H30.8 Hidradenite Supurativa CID: L73.2","MS19578, MS38515, MS38516","adalimumabe solução injetável 40 mg seringa preenchida","Ministério da Saúde (1A)",""
"Esclerose múltipla CID: G35","MS35235","alentuzumabe 10mg/mL frasco-ampola 1,2 mL","Ministério da Saúde (1A)",""
"Doença de Pompe E74.0","CID:","MS37750 alfa-alglicosidade pó liofilizado para solução injetável 50 mg frasco ampola","Ministério da Saúde (1A)",""
"Fibrose Cística CIDs: E84.0, E84.8","MS2317","alfadornase solução para inalação 1mg/mL ampola 2,5mL","Ministério da Saúde (1A)",""
"Mucopolissacaridose do tipo IV A CID: E76.2","MS37566","alfaelosulfase solução injetável 1 mg/mL frasco- ampola 5 mL","Ministério da Saúde (1A)",""
"Transplante de medula ou pâncreas CID: Z94.8 Transplante de intestino CID: Z94.8 Anemia na doença renal crônica - alfaepoetina CIDs: N18.0, N18.8 Síndrome mielodisplásica de baixo risco CIDs: D46.0, D46.1, D46.4, D46.7 Doença Falciforme CIDs: D57.0, D57.1, D57.2","MS21684","alfaepoetina solução injetável 10.000 UI seringa preenchida ou frasco-ampola ou ampola","Ministério da Saúde (1A)",""
"Transplante de medula ou pâncreas CID: Z94.8 Transplante de intestino CID: Z94.8 Anemia na doença renal crônica - alfaepoetina CIDs: N18.0, N18.8 Doença Falciforme CIDs: D57.0, D57.1, D57.2","MS52018","alfaepoetina solução injetável 4.000 UI seringa preenchida ou frasco-ampola ou ampola","Ministério da Saúde (1A)",""
"Hemangioma infantil CID: D18.0","MS21547","alfainterferona 2B injetável 10.000.000 UI frasco- ampola","Ministério da Saúde (1A)",""
"Hemangioma infantil CID: D18.0","MS1496","alfainterferona 2B injetável 3.000.000 UI frasco- ampola","Ministério da Saúde (1A)",""
"Doença de Gaucher CID: E75.2","MS6417","alfainterferona 2B injetável 5.000.000 UI frasco- ampola","Ministério da Saúde (1A)",""
"Doença de Gaucher CID: E75.2","MS31150","alfavelaglicerase pó liofilizado ou solução","Saúde (1A) Ministério",""
"Mucopolissacaridose do tipo VII CID: E76.2","MS38425","injetável 400U frasco-ampola alfavestronidase solução injetável 2 mg/mL frasco ampola 5 mL","da Saúde (1A) Ministério da Saúde (1A)",""
"Fenilcetonúria CIDs: E70.0, E70.1","17725","fórmula dietoterápica para crianças acima de 8 anos de idade portadoras de fenilcetonúria fórmula dietoterápica para crianças de 1 a 8 anos de idade portadoras de fenilcetonúria","Secretaria de Saúde do DF (2) Secretaria de Saúde do DF (2)",""
"Fenilcetonúria CIDs: E70.0, E70.1","17728","","",""
"","17726","fórmula dietoterápica para lactentes de 0 a 1 ano","Secretaria de Saúde do DF (2)",""
"","","de idade portadores de fenilcetonúria","",""
"arterial","31982","ambrisentana comprimido revestido 5 mg","Secretaria de Saúde do DF (1B)",""
"Hipertensão pulmonar CIDs: I27.0, I27.2, I27.8","32161","ambrisentana comprimido revestido 10 mg","Secretaria de Saúde",""
"Dislipidemia para prevenção de eventos","8820","atorvastatina comprimido 20 mg","do DF (1B)",""
"cardiovasculares e pancreatite","","","Secretaria de Saúde do DF (2)",""
"CIDs: E78.0, E78.1, E78.2, E78.3, E78.4, E78.5, E78.6, E78.8","4383","atorvastatina comprimido 10 mg","Secretaria de Saúde do DF (2)",""
"Anemia aplástica constitucional CID: D61.0 Artrite reumatoide CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8 Artrite reumatoide juvenil CID: M08.0 Dermatomiosite e polimiosite CIDs: M33.0, M33.1, M33.2 Doença de Crohn CIDs: K50.0, K50.1, K50.8 Esclerose sistêmica CIDs: M34.0, M34.1, M34.8 Esclerose múltipla CID: G35 Hepatite autoimune CID: K75.4 Lúpus eritematoso sistêmico CIDs: L93.0, L93.1, M32.1, M32.8 Miastenia gravis CIDs: G70.0, G70.2 Púrpura trombocitopênica idiopática CID: D69.3 Retocolite ulcerativa CIDs: K51.0, K51.1, K51.2, K51.3, K51.4, K51.5, K51.8 Transplante Pulmonar: CID Z94.2 Coração e Pulmão: CID Z94.3 Medula ou Pâncreas: CID Z94.8 Imunossupressão no transplante Renal: CIDs T86.1, Z94.0","90770","azatioprina comprimido 50 mg","Secretaria de Saúde do DF (2)",""
"Artrite reumatoide (exceto juvenil). CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8","MS37771","baricitinibe comprimido revestido 2 mg","Ministério da Saúde (1A)",""
"","MS37772","baricitinibe comprimido revestido 4 mg","Ministério da Saúde (1A)",""
"Esclerose múltipla CID: G35","MS2817","betainterferona 1A injetável 12.000.000UI (44 mcg) seringa preenchida","Ministério da Saúde (1A)",""
"Esclerose múltipla CID: G35","MS4824","betainterferona 1A injetável 6.000.000UI (22 mcg) seringa preenchida","Ministério da Saúde (1A)",""
"Esclerose múltipla CID: G35","MS3350","betainterferona 1A injetável 6.000.000UI (30 mcg) frasco amp0la + seringa preenchida com diluente","Ministério da Saúde (1A)",""
"Esclerose múltipla CID: G35","MS6593","betainterferona 1B pó liofilizado para solução injetável 9.600.000UI/frasco-ampola + diluente (após reconstituição cada mL de solução contém 0,25 mg ou 8.000.000UI)","Ministério da Saúde (1A)",""
"Dislipidemia para prevenção de eventos cardiovasculares e pancreatite","13812","bezafibrato comprimido de desintegração lenta 400 mg","Secretaria de Saúde do DF (2)",""
"CIDs: E78.0, E78.1, E78.2, E78.3, E78.4, E78.5, E78.6, E78.8","7536","bezafibrato drágea ou comprimido revestido 200 mg","Secretaria de Saúde do DF (2)",""
"Glaucoma CIDs: H40.1, H40.2, H40.3, H40.4, H40.5, H40.6, H40.8, Q15.0","MS19730","bimatoprosta solução oftálmica 0,3 mg/mL frasco 3 mL","Ministério da Saúde (1A)",""
"Deficiência de biotinidase CID: E88.9","MS36095","biotina cápsula 2,5 mg","Ministério da Saúde (1A)",""
"Hipertensão Arterial Pulmonar V2","201482","bosentana comprimido revestido 125 mg (frasco ou blister)","Secretaria de Saúde do DF (1B)",""
"CIDs: I27.0, I27.2, I27.8","201757","bosentana comprimido revestido 62,5 mg","Secretaria de Saúde do DF (1B)",""
"Glaucoma CIDs: H40.1, H40.2, H40.3, H40.4, H40.5, H40.6, H40.8, Q15.0","10325","brimonidina (tartarato) solução oftálmica 0,2% frasco 5 mL","Secretaria de Saúde do DF (2)",""
"","19993","brinzolamida 10 mg/mL suspensão oftálmica frasco 5 mL","Secretaria de Saúde do DF (2)",""
"Raquitismo e osteomalácia CID: E55.0, E55.9, E64.3, E83.3, M83.0, M83.1, M83.2,","MS38404","burosumabe solução injetável 10 mg/mL frasco ampola 1 mL","Ministério da Saúde (1A)",""
"M83.3, M83.8","MS38406 MS38407","burosumabe solução injetável 20 mg/mL frasco ampola 1 mL burosumabe solução injetável 30 mg/mL frasco","Ministério da Saúde (1A) Ministério da",""
"Acromegalia CID: E22.0","MS607","ampola 1 mL cabergolina comprimido 0,5 mg","Saúde (1A) Ministério da Saúde (1A)",""
"Hiperprolactinemia CID: E22.1 Doença de Paget CID: M88.0, M88.8","609","calcitonina sintética de salmão 200UI/dose frasco spray nasal 2,0 mL","Secretaria de Saúde do DF (2)",""
"CIDs: M80.0, M80.1, M80.2, M80.3, M80.4, M80.5, M80.8, M81.0, M81.1, M81.2, M81.3, M81.4, M81.5, M81.6, M81.8, M82.0, M82.1, M82.8, M85.8 Hipoparatireoidismo CIDs: E20.0, E20.1, E20.8, E89.2 Raquitismo e Osteomalácia CIDs: E55.0, E55.9, E64.3, E83.3, M83.0, M83.1, M83.2, E83.3,M83.3, M83.8","19709","calcitriol cápsula 0,25 mcg (frasco ou blister)","Secretaria de",""
"Osteoporose CIDs: M80.0, M80.1, M80.2, M80.3, M80.4, M80.5, M80.8, M81.0, M81.1, M81.2, M81.3, M81.4, M81.5, M81.6, M81.8, M82.0, M82.1, M82.8, M85.8 Distúrbio mineral e ósseo na doença renal crônica CIDs: E83.3, N18.0, N18.2, N18.3, N18.4, N18.5, N25.0","","","Saúde do DF (2)",""
"Artrite reumatoide (exceto juvenil) CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8 Doença de Crohn CIDs: K50.0, K50.1, K50.8 Espondilite ancilosante CIDs: M45, M46.8 Artrite psoríaca CIDs: M07.0, M07.2, M07.3","MS31151","certolizumabe pegol solução injetável 200 mg/mL seringa preenchida","Ministério da Saúde (1A)",""
"Anemia hemolítica autoimune CIDs: D59.0, D59.1 Esclerose sistêmica CIDs: M34.0, M34.1, M34.8","90771","ciclofosfamida comprimido revestido de liberação retardada 50 mg","Secretaria de Saúde do DF (2)",""
"CID: D69.3 Síndrome de Falência Medular CIDs: D60.0, D60.1, D60.8 Síndrome nefrótica primária emadultos, crianças e adolescentes CIDs: N04.0, N04.1, N04.2, N04.3, N04.4, N04.5, N04.6, N04.7, N04.8, N04.9 Lúpus Eritematoso Sistêmico CIDs: L93.0, L93.1, M32.1, M32.8","","","",""
"Anemia hemolítica autoimune CIDs: D59.0, D59.1 Artrite reumatoide (exceto juvenil) CIDs: M05.0, M05.1, M05.2, M05.3, M05.8, M06.0, M06.8 Artrite reumatoide juvenil CIDs: M08.0, M08.1, M08.2, M08.3, M08.4, M08.8, M08.9","90964","ciclosporina cápsula para microemulsão ou modificada 100mg","Secretaria de Saúde do DF (2)",""
