"Denominação Comum Brasileira (DCB)","Forma farmacêutica​","Concentração","Componente de financiamento da Assistência Farmacêutica","Grupo de financiamento do Componente Especializado","Modalidade de aquisição do Componente da Assistência Farmacêutica em Oncologia","Código ATC","Classificação AWaRe","Observações"
"abatacepte","pó para solução para infusão","250 mg","ESPECIALIZADO","1A","","L04AA24","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"abatacepte","solução injetável","125 mg/mL","ESPECIALIZADO","1A","","L04AA24","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"abciximabe","solução injetável","2 mg/mL","PROCEDIMENTO HOSPITALAR","","","B01AC13","","""PROCEDIMENTO HOSPITALAR"" não é um Componente de financiamento da Assistência Farmacêutica. Os medicamentos nele relacionados estão elencados no Procedimento ""06 - Medicamentos"" da tabela Sigtap e são financiados pelo bloco da Alta e Média Complexidade."
"acetato de abiraterona","comprimido","250 mg","ONCOLÓGICO","","DESCENTRALIZADO","L02BX03","","Relatório de Recomendação da CONITEC Nº 464 de Julho/2019 - Abiraterona para tratamento do câncer de próstata metastático resistente à castração, em pacientes com uso prévio de quimioterapia.
 "
"acetato de abiraterona","comprimido","500 mg","ONCOLÓGICO","","DESCENTRALIZADO","L02BX03","","Relatório de Recomendação da CONITEC Nº 464 de Julho/2019 - Abiraterona para tratamento do câncer de próstata metastático resistente à castração, em pacientes com uso prévio de quimioterapia.
 "
"acetato de betametasona + fosfato dissódico de betametasona","suspensão injetável","3 mg/mL + 3 mg/mL","BÁSICO","","","H02AB01",""," "
"acetato de ciproterona","comprimido","50 mg","ESPECIALIZADO","1B","","G03HA01","","Grupo 1B: medicamentos financiados pelo Ministério da Saúde mediante transferência de recursos financeiros para aquisição pelas secretarias de saúde dos estados e Distrito Federal sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"acetato de desmopressina","comprimido","0,1 mg","ESPECIALIZADO","1A","","H01BA02","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"acetato de desmopressina","comprimido","0,2 mg ","ESPECIALIZADO","1A","","H01BA02","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"acetato de desmopressina","solução injetável","15 mcg/mL","ESTRATÉGICO","","","H01BA02",""," "
"acetato de desmopressina","solução injetável","4 mcg/mL","ESTRATÉGICO","","","H01BA02",""," "
"acetato de desmopressina","solução spray nasal","0,1 mg/mL","ESPECIALIZADO","1A","","H01BA02","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"acetato de fludrocortisona","comprimido","0,1 mg","ESPECIALIZADO","2","","H02AA02","","Grupo 2: medicamentos sob responsabilidade das secretarias de saúde dos estados e do Distrito Federal pelo financiamento, aquisição, programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do CEAF"
"acetato de glatirâmer","solução injetável","20 mg/mL","ESPECIALIZADO","1A","","L03AX13","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
"acetato de glatirâmer","solução injetável","40 mg/mL","ESPECIALIZADO","1A","","L03AX13","","Grupo 1A: medicamentos com aquisição centralizada pelo Ministério da Saúde e fornecidos às secretarias de saúde dos estados e Distrito Federal, sendo delas a responsabilidade pela programação, armazenamento, distribuição e dispensação para tratamento das doenças contempladas no âmbito do Componente Especializado da Assistência Farmacêutica."
