ITEM,CÓDIGO,DESCRIÇÃO,GRUPO FARMACOLÓGICO,FARMÁCIA
1.,MSE21340,abacavir comprimido 300 mg - HIV,Medicamentos para o manejo da infecção pelo HIV,"Policlínica de Ceilândia, Policlínica do Gama, Policlínica de Planaltina, Policlínica de Taguatinga, UBS 1 Lago Sul, Farmácia Escola (HUB) e Centro Especializado em Doenças Infecciosas - CEDIN (antigo Hospital Dia)"
2.,MSE21341,abacavir 20 mg/mL solução oral - HIV,Medicamentos para o manejo da infecção pelo HIV,"Policlínica de Ceilândia, Policlínica do Gama, Policlínica de Planaltina, Policlínica de Taguatinga, UBS 1 Lago Sul, Farmácia Escola (HUB) e Centro Especializado em Doenças Infecciosas - CEDIN (antigo Hospital Dia)"
3.,MS11126,abatacepte pó liofilizo injetável 250mg frasco ampola + seringa descartável,Imunossupressores,Farmácia do Componente Especializado
4.,MS35706,abatacepte solução injetável 125mg/mL seringa preenchida 1mL,Imunossupressores,Farmácia do Componente Especializado
5.,28750,abiraterona (acetato) comprimido 250 mg,Outros agentes antineoplásicos,Farmácia Ambulatorial do HBDF e Farmácia Ambulatorial Oncológica do HRT
6.,MS38601,acetato de medroxiprogesterona + estradiol cipionato 25 mg + 5 mg suspensão injetável,Medicamentos para a saúde da mulher,UBS (farmácia ambulatorial)
7.,90870,aciclovir (sódico) pó para solução injetável 250 mg frasco-ampola,Antivirais de ação direta,uso hospitalar
8.,90869,aciclovir comprimido 200 mg,Antivirais de ação direta,UBS (farmácia ambulatorial) e uso hospitalar
9.,20833,"aciclovir pomada oftálmica 0,03 g/g bisnaga 4,5 g",Anti-infecciosos,UBS (farmácia ambulatorial) e uso hospitalar
10.,90060,ácido acetilsalicílico comprimido 100 mg,Agentes antitrombóticos,"UBS (farmácia ambulatorial e farmácia interna), uso hospitalar e atendimento pré-hospitalar (SAMU)"
11.,90527,ácido ascórbico (vitamina c) solução injetável 100 mg/mL ampola 5 mL,"Ácido ascórbico (vit.c, incluindo associações",uso hospitalar
12.,90520,ácido fólico comprimido 5 mg,Vitamina B12 e ácido fólico,UBS (farmácia ambulatorial) e uso hospitalar
13.,31271,"ácido fólico solução oral 0,2 mg/mL frasco 30 mL",Vitamina B12 e ácido fólico,UBS (farmácia ambulatorial)
14.,MSE90519,ácido folínico comprimido 15 mg - toxoplasmose,Medicamentos para o tratamento da toxoplasmose,UBS (farmácia ambulatorial)
15.,MSE33446,ácido paraminossalicilico 4 g granulado revestido - tuberculose (exclusivo hospital dia),Medicamentos para o tratamento da tuberculose multidrogarresistente,Centro Especializado em Doenças Infecciosas - CEDIN (antigo Hospital Dia)* *Exclusivo Programa SITE-TB.
16.,90342*,ácido poliacrílico (carbômer) gel líquido oftálmico 2 mg/g ou 3 mg/g bisnaga 10 g *será substituído pelo código 39208 carbômer (ácido poliacrílico) gel líquido oftálmico 2 mg/g bisnaga 10 g,Outros oftalmológicos,uso hospitalar
17.,90534,ácido tranexâmico comprimido 250 mg,Anti-fibrinolíticos,uso hospitalar
18.,MSE90534,ácido tranexâmico comprimido 250 mg - coagulopatias,Anti-fibrinolíticos,Hemocentro
19.,MSE33204,ácido tranexâmico comprimido 500 mg - coagulopatias,Anti-fibrinolíticos,Hemocentro
20.,90533,ácido tranexâmico solução injetável 50 mg/mL ampola 5 mL,Anti-fibrinolíticos,uso hospitalar e atendimento pré- hospitalar (SAMU)
21.,90274,ácido zoledrônico 4 mg pó liofilizado ou solução injetável frasco ou frasco ampola,Medicamentos que afetam a estrutura óssea e mineralização,uso hospitalar (exclusivo HRT)
22.,10349,ácido zoledrônico solução injetável 5mg/100mL frasco ou bolsa 100mL,Medicamentos que afetam a estrutura óssea e mineralização,Farmácia Ambulatorial do HBDF e Centro Especializado em Saúde da Mulher - CESMU.
23.,1068,acitretina cápsula 10mg,Antipsoriáticos para uso sistémico,Farmácia do Componente Especializado
24.,1069,acitretina cápsula 25mg,Antipsoriáticos para uso sistémico,Farmácia do Componente Especializado
25.,M S19578 MS38515 MS38516,adalimumabe solução injetável 40mg seringa ou caneta,Imunossupressores,Farmácia do Componente Especializado
26.,4980,adenosina solução injetável 3 mg/mL ampola 2 mL,Outros preparados cardíacos,uso hospitalar e atendimento pré- hospitalar (SAMU)
27.,39006,aflibercepte solução injetável 40mg/mL frasco ampola ou seringa preenchida,Agentes para distúrbio vascular ocular,uso hospitalar
28.,90580,agua para injetáveis ampola 10 mL,Todos os outros produtos não terapêuticos,"UBS (farmácia interna), uso hospitalar e atendimento pré-hospitalar (SAMU)"
29.,90581,agua para injetáveis frasco ou bolsa 1000 mL,Todos os outros produtos não terapêuticos,UBS (farmácia interna) e uso hospitalar
30.,90954,agua para injetáveis frasco ou bolsa 500 mL,Todos os outros produtos não terapêuticos,UBS (farmácia interna) e uso hospitalar
31.,90014,albendazol comprimido mastigável 400 mg,Agentes antinematódeos,UBS (farmácia ambulatorial) e uso hospitalar
32.,90088,albendazol suspensão oral 40 mg/mL frasco 10 mL,Agentes antinematódeos,UBS (farmácia ambulatorial) e uso hospitalar
33.,MS90621,albumina humana solução injetável 20 % frasco ampola ou bolsa 50 mL,Sangue e produtos relacionados,uso hospitalar
34.,90621,albumina humana solução injetável 20 % frasco ampola ou bolsa 50 mL,Sangue e produtos relacionados,uso hospitalar
35.,32430,álcool gel 70% frasco 400g a 500g válvula ´pump´,Outros preparados dermatológicos,para uso interno nas unidades
36.,32429,álcool gel a 70% frasco com tampa acoplada 85 a 100g,Outros preparados dermatológicos,para uso interno nas unidades
37.,37113,álcool gel 70% frasco até 1 litro. unidade de estoque/licitação: mL.,Outros preparados dermatológicos,para uso interno nas unidades
38.,17809,alendronato sódico comprimido 70 mg,Medicamentos que afetam a estrutura óssea e mineralização,UBS (farmácia ambulatorial)
39.,MS35235,"alentuzumabe 10mg/mL frasco-ampola de 1,2 mL",Imunossupressores,Farmácia do Componente Especializado
40.,202318,alfa 1 antitripsina 1000 mg injetável,Outros medicamentos sistêmicos para doença obstrutiva das vias aéreas,uso hospitalar (exclusivo HRAN)
41.,MS37750,alfa-alglicosidase pó liofilizado para solução injetável 50 mg frasco ampola,Outros medicamentos do aparelho digestivo e metabolismo,Farmácia do Componente Especializado
42.,21045,"alfacoriogonadotropina solução injetável 250 mcg caneta ou seringa preenchida 0,5 mL",Gonadotropinas e outros estimulantes de ovulação,uso hospitalar
43.,MS2317,"alfadornase solução para inalação 1mg/mL ampola 2,5mL","Expectorantes, excluindo associações com supressores da tosse",Farmácia do Componente Especializado
44.,MS37566,alfaelosulfase solução injetável 1 mg/mL frasco-ampola 5 mL,Outros medicamentos do aparelho digestivo e metabolismo,Farmácia do Componente Especializado
